code,region,sido,n_recv,s_recv,n_target,s_target,s_pct,n_pct
11110,종로구,서울특별시,19,82,565,390,21.03,3.36
11140,중구,서울특별시,13,91,512,380,23.95,2.54
11170,용산구,서울특별시,23,169,803,712,23.74,2.86
11200,성동구,서울특별시,20,132,955,701,18.83,2.09
11215,광진구,서울특별시,78,406,2065,1539,26.38,3.78
11230,동대문구,서울특별시,71,355,1651,1367,25.97,4.3
11260,중랑구,서울특별시,130,807,4422,3133,25.76,2.94
11290,성북구,서울특별시,81,447,2754,2058,21.72,2.94
11305,강북구,서울특별시,128,552,3008,2308,23.92,4.26
11320,도봉구,서울특별시,105,596,3250,2142,27.82,3.23
11350,노원구,서울특별시,91,671,3544,2596,25.85,2.57
11380,은평구,서울특별시,107,689,3653,2991,23.04,2.93
11410,서대문구,서울특별시,47,298,1455,1137,26.21,3.23
11440,마포구,서울특별시,42,261,1305,901,28.97,3.22
11470,양천구,서울특별시,99,531,2770,2116,25.09,3.57
11500,강서구,서울특별시,98,807,4403,3179,25.39,2.23
11530,구로구,서울특별시,105,585,2723,2061,28.38,3.86
11545,금천구,서울특별시,56,335,2019,1379,24.29,2.77
11560,영등포구,서울특별시,50,156,1041,980,15.92,4.8
11590,동작구,서울특별시,26,288,1411,1197,24.06,1.84
11620,관악구,서울특별시,61,528,2441,1909,27.66,2.5
11650,서초구,서울특별시,33,232,973,887,26.16,3.39
11680,강남구,서울특별시,27,297,1509,1246,23.84,1.79
11710,송파구,서울특별시,63,639,3256,2173,29.41,1.93
11740,강동구,서울특별시,98,460,2601,2002,22.98,3.77
26110,중구,부산광역시,16,90,482,307,29.32,3.32
26140,서구,부산광역시,43,236,1318,1021,23.11,3.26
26170,동구,부산광역시,28,267,1008,831,32.13,2.78
26200,영도구,부산광역시,34,365,1589,1173,31.12,2.14
26230,부산진구,부산광역시,80,728,3638,2513,28.97,2.2
26260,동래구,부산광역시,68,499,2380,1846,27.03,2.86
26290,남구,부산광역시,65,449,2102,1535,29.25,3.09
26320,북구,부산광역시,93,769,3470,2408,31.94,2.68
26350,해운대구,부산광역시,102,737,3547,2743,26.87,2.88
26380,사하구,부산광역시,95,931,4345,3253,28.62,2.19
26410,금정구,부산광역시,52,404,1920,1529,26.42,2.71
26440,강서구,부산광역시,39,279,1463,1228,22.72,2.67
26470,연제구,부산광역시,42,386,2317,1434,26.92,1.81
26500,수영구,부산광역시,40,364,1615,1127,32.3,2.48
26530,사상구,부산광역시,55,435,2563,1659,26.22,2.15
26710,기장군,부산광역시,68,610,2720,2154,28.32,2.5
27110,중구,대구광역시,17,159,745,567,28.04,2.28
27140,동구,대구광역시,129,870,3549,2679,32.47,3.63
27170,서구,대구광역시,56,519,2527,2054,25.27,2.22
27200,남구,대구광역시,64,478,2290,1841,25.96,2.79
27230,북구,대구광역시,168,947,5052,3473,27.27,3.33
27260,수성구,대구광역시,114,681,3752,2839,23.99,3.04
27290,달서구,대구광역시,182,1280,5733,4494,28.48,3.17
27710,달성군,대구광역시,96,858,3441,2971,28.88,2.79
27720,군위군,대구광역시,0,24,131,124,19.35,0.0
28110,중구,인천광역시,36,422,1854,1616,26.11,1.94
28140,동구,인천광역시,24,125,606,429,29.14,3.96
28177,미추홀구,인천광역시,92,1043,7208,5277,19.77,1.28
28185,연수구,인천광역시,80,513,2414,2139,23.98,3.31
28200,남동구,인천광역시,192,1495,8254,5936,25.19,2.33
28237,부평구,인천광역시,200,1127,5847,4670,24.13,3.42
28245,계양구,인천광역시,99,632,3729,2740,23.07,2.65
28260,서구,인천광역시,174,1428,7869,6098,23.42,2.21
28710,강화군,인천광역시,16,139,603,552,25.18,2.65
28720,옹진군,인천광역시,3,17,92,52,32.69,3.26
29110,동구,광주광역시,10,208,855,927,22.44,1.17
29140,서구,광주광역시,110,769,3853,2937,26.18,2.85
29155,남구,광주광역시,105,670,3284,2557,26.2,3.2
29170,북구,광주광역시,124,1004,6817,5363,18.72,1.82
29200,광산구,광주광역시,223,1524,6913,5542,27.5,3.23
30110,동구,대전광역시,103,558,3314,2671,20.89,3.11
30140,중구,대전광역시,121,593,2715,1961,30.24,4.46
30170,서구,대전광역시,174,889,5086,3929,22.63,3.42
30200,유성구,대전광역시,76,480,2675,2060,23.3,2.84
30230,대덕구,대전광역시,73,470,2423,1905,24.67,3.01
31110,중구,울산광역시,57,256,2312,1248,20.51,2.47
31140,남구,울산광역시,74,324,2670,1550,20.9,2.77
31170,동구,울산광역시,75,318,1835,1286,24.73,4.09
31200,북구,울산광역시,78,349,2217,1453,24.02,3.52
31710,울주군,울산광역시,61,373,2366,1500,24.87,2.58
36110,세종시,세종특별자치시,73,465,2746,2204,21.1,2.66
41110,수원시,경기도,197,914,6212,4019,22.74,3.17
41130,성남시,경기도,225,1051,5310,3801,27.65,4.24
41150,의정부시,경기도,226,929,5420,3888,23.89,4.17
41170,안양시,경기도,116,538,2923,1972,27.28,3.97
41190,부천시,경기도,183,895,6033,3967,22.56,3.03
41210,광명시,경기도,44,293,1846,1204,24.34,2.38
41220,평택시,경기도,137,901,6225,4615,19.52,2.2
41250,동두천시,경기도,50,373,1896,1510,24.7,2.64
41270,안산시,경기도,285,1325,8580,6116,21.66,3.32
41280,고양시,경기도,246,1265,7062,5073,24.94,3.48
41290,과천시,경기도,1,26,148,109,23.85,0.68
41310,구리시,경기도,56,247,1458,974,25.36,3.84
41360,남양주시,경기도,246,1077,6299,4505,23.91,3.91
41370,오산시,경기도,85,348,2279,1533,22.7,3.73
41390,시흥시,경기도,154,795,5310,3513,22.63,2.9
41410,군포시,경기도,74,402,2113,1599,25.14,3.5
41430,의왕시,경기도,20,134,649,505,26.53,3.08
41450,하남시,경기도,41,240,1595,1081,22.2,2.57
41460,용인시,경기도,103,879,4332,3430,25.63,2.38
41480,파주시,경기도,166,1231,6472,4895,25.15,2.56
41500,이천시,경기도,54,306,2006,1320,23.18,2.69
41550,안성시,경기도,44,350,1965,1328,26.36,2.24
41570,김포시,경기도,86,589,3563,2621,22.47,2.41
41590,화성시,경기도,166,766,5209,3540,21.64,3.19
41610,광주시,경기도,121,571,3690,2627,21.74,3.28
41630,양주시,경기도,128,720,4554,3443,20.91,2.81
41650,포천시,경기도,68,306,1910,1321,23.16,3.56
41670,여주시,경기도,48,252,1499,1156,21.8,3.2
41800,연천군,경기도,8,68,460,345,19.71,1.74
41820,가평군,경기도,14,79,582,450,17.56,2.41
41830,양평군,경기도,27,218,993,833,26.17,2.72
43110,청주시,충청북도,244,1599,9707,7006,22.82,2.51
43130,충주시,충청북도,109,426,2687,1823,23.37,4.06
43150,제천시,충청북도,63,327,1542,1260,25.95,4.09
43720,보은군,충청북도,17,33,321,249,13.25,5.3
43730,옥천군,충청북도,18,77,558,436,17.66,3.23
43740,영동군,충청북도,10,63,404,326,19.33,2.48
43745,증평군,충청북도,11,81,564,369,21.95,1.95
43750,진천군,충청북도,20,107,1006,640,16.72,1.99
43760,괴산군,충청북도,10,39,248,225,17.33,4.03
43770,음성군,충청북도,25,154,922,809,19.04,2.71
43800,단양군,충청북도,8,31,201,177,17.51,3.98
44130,천안시,충청남도,104,803,6348,4310,18.63,1.64
44150,공주시,충청남도,36,181,1144,840,21.55,3.15
44180,보령시,충청남도,41,175,1151,878,19.93,3.56
44200,아산시,충청남도,91,546,4057,2756,19.81,2.24
44210,서산시,충청남도,55,250,1569,1160,21.55,3.51
44230,논산시,충청남도,45,318,1697,1396,22.78,2.65
44250,계룡시,충청남도,13,60,408,334,17.96,3.19
44270,당진시,충청남도,61,181,1656,1079,16.77,3.68
44710,금산군,충청남도,10,94,521,459,20.48,1.92
44760,부여군,충청남도,23,107,624,594,18.01,3.69
44770,서천군,충청남도,21,47,474,342,13.74,4.43
44790,청양군,충청남도,7,51,301,226,22.57,2.33
44800,홍성군,충청남도,33,214,1150,835,25.63,2.87
44810,예산군,충청남도,21,107,658,546,19.6,3.19
44825,태안군,충청남도,11,99,525,426,23.24,2.1
46110,목포시,전라남도,112,867,4845,3776,22.96,2.31
46130,여수시,전라남도,100,492,2787,1996,24.65,3.59
46150,순천시,전라남도,78,419,2517,2047,20.47,3.1
46170,나주시,전라남도,59,313,1524,1337,23.41,3.87
46230,광양시,전라남도,51,275,2097,1402,19.61,2.43
46710,담양군,전라남도,7,90,381,337,26.71,1.84
46720,곡성군,전라남도,0,28,203,160,17.5,0.0
46730,구례군,전라남도,4,33,209,166,19.88,1.91
46770,고흥군,전라남도,17,76,511,471,16.14,3.33
46780,보성군,전라남도,9,59,330,293,20.14,2.73
46790,화순군,전라남도,23,108,621,485,22.27,3.7
46800,장흥군,전라남도,11,51,360,351,14.53,3.06
46810,강진군,전라남도,4,98,382,403,24.32,1.05
46820,해남군,전라남도,17,117,644,558,20.97,2.64
46830,영암군,전라남도,8,87,568,443,19.64,1.41
46840,무안군,전라남도,45,207,1002,817,25.34,4.49
46860,함평군,전라남도,3,68,237,268,25.37,1.27
46870,영광군,전라남도,23,87,579,517,16.83,3.97
46880,장성군,전라남도,3,80,376,352,22.73,0.8
46890,완도군,전라남도,17,60,460,354,16.95,3.7
46900,진도군,전라남도,2,29,326,240,12.08,0.61
46910,신안군,전라남도,4,82,298,356,23.03,1.34
47110,포항시,경상북도,163,1230,6781,4821,25.51,2.4
47130,경주시,경상북도,48,400,2495,1879,21.29,1.92
47150,김천시,경상북도,27,319,1558,1223,26.08,1.73
47170,안동시,경상북도,45,321,1710,1239,25.91,2.63
47190,구미시,경상북도,120,728,4786,3114,23.38,2.51
47210,영주시,경상북도,43,248,1171,904,27.43,3.67
47230,영천시,경상북도,39,308,1274,1007,30.59,3.06
47250,상주시,경상북도,15,140,766,645,21.71,1.96
47280,문경시,경상북도,16,82,455,365,22.47,3.52
47290,경산시,경상북도,69,544,3293,2508,21.69,2.1
47730,의성군,경상북도,7,49,310,312,15.71,2.26
47750,청송군,경상북도,1,13,144,111,11.71,0.69
47760,영양군,경상북도,5,40,126,130,30.77,3.97
47770,영덕군,경상북도,7,49,458,329,14.89,1.53
47820,청도군,경상북도,7,50,297,219,22.83,2.36
47830,고령군,경상북도,10,89,334,292,30.48,2.99
47840,성주군,경상북도,7,47,423,318,14.78,1.65
47850,칠곡군,경상북도,33,327,1890,1451,22.54,1.75
47900,예천군,경상북도,12,96,469,370,25.95,2.56
47920,봉화군,경상북도,2,31,151,137,22.63,1.32
47930,울진군,경상북도,6,55,338,248,22.18,1.78
47940,울릉군,경상북도,0,5,41,28,17.86,0.0
48120,창원시,경상남도,347,2001,11133,7901,25.33,3.12
48170,진주시,경상남도,162,946,4132,3015,31.38,3.92
48220,통영시,경상남도,58,464,2117,1734,26.76,2.74
48240,사천시,경상남도,34,270,1460,1068,25.28,2.33
48250,김해시,경상남도,167,1404,8182,5976,23.49,2.04
48270,밀양시,경상남도,29,203,1055,858,23.66,2.75
48310,거제시,경상남도,93,699,3211,2477,28.22,2.9
48330,양산시,경상남도,132,713,4579,3034,23.5,2.88
48720,의령군,경상남도,2,46,214,198,23.23,0.93
48730,함안군,경상남도,10,109,699,505,21.58,1.43
48740,창녕군,경상남도,12,126,546,509,24.75,2.2
48820,고성군,경상남도,10,137,493,487,28.13,2.03
48840,남해군,경상남도,9,55,412,322,17.08,2.18
48850,하동군,경상남도,5,75,428,358,20.95,1.17
48860,산청군,경상남도,5,50,281,207,24.15,1.78
48870,함양군,경상남도,13,120,390,387,31.01,3.33
48880,거창군,경상남도,14,153,680,540,28.33,2.06
48890,합천군,경상남도,3,30,212,208,14.42,1.42
50110,제주시,제주특별자치도,168,1272,7515,5771,22.04,2.24
50130,서귀포시,제주특별자치도,69,554,2573,2129,26.02,2.68
51110,춘천시,강원특별자치도,109,693,3239,2547,27.21,3.37
51130,원주시,강원특별자치도,150,695,4475,3092,22.48,3.35
51150,강릉시,강원특별자치도,99,366,2569,1721,21.27,3.85
51170,동해시,강원특별자치도,36,180,1064,752,23.94,3.38
51190,태백시,강원특별자치도,10,67,482,330,20.3,2.07
51210,속초시,강원특별자치도,44,156,1257,806,19.35,3.5
51230,삼척시,강원특별자치도,17,99,593,438,22.6,2.87
